,centromere_index,intensity,file,C1_Intensity,C2_Intensity,Label,Treatment,spots
176,3,669.0812,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,111,832,Cen7g11rFISH,Palbo_ON,39
177,4,619.8389,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,106,520,Cen7g11rFISH,Palbo_ON,39
178,5,635.73096,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,128,18134,Cen7g11rFISH,Palbo_ON,39
179,6,542.3004,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,116,934,Cen7g11rFISH,Palbo_ON,39
180,7,504.85532,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,547,104,Cen7g11rFISH,Palbo_ON,39
181,8,527.2255,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,123,728,Cen7g11rFISH,Palbo_ON,39
182,9,504.76535,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,112,1125,Cen7g11rFISH,Palbo_ON,39
183,10,475.47833,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,109,912,Cen7g11rFISH,Palbo_ON,39
184,11,437.45828,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,116,148,Cen7g11rFISH,Palbo_ON,39
185,12,488.0905,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,110,685,Cen7g11rFISH,Palbo_ON,39
186,13,419.6249,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,107,115,Cen7g11rFISH,Palbo_ON,39
187,14,423.28885,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,405,121,Cen7g11rFISH,Palbo_ON,39
188,15,428.63528,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,129,435,Cen7g11rFISH,Palbo_ON,39
189,16,401.23917,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,102,462,Cen7g11rFISH,Palbo_ON,39
190,17,422.72595,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,122,1277,Cen7g11rFISH,Palbo_ON,39
191,18,402.56116,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,139,115,Cen7g11rFISH,Palbo_ON,39
192,19,397.2972,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,116,1020,Cen7g11rFISH,Palbo_ON,39
193,20,379.9864,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,108,110,Cen7g11rFISH,Palbo_ON,39
194,21,381.11905,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,107,107,Cen7g11rFISH,Palbo_ON,39
195,22,361.22,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,326,109,Cen7g11rFISH,Palbo_ON,39
196,23,361.52322,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,4468,198,Cen7g11rFISH,Palbo_ON,39
197,24,349.4499,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,332,117,Cen7g11rFISH,Palbo_ON,39
198,25,367.5714,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,106,658,Cen7g11rFISH,Palbo_ON,39
199,26,337.44635,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,114,108,Cen7g11rFISH,Palbo_ON,39
200,27,344.13925,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,108,106,Cen7g11rFISH,Palbo_ON,39
201,28,323.84067,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,109,301,Cen7g11rFISH,Palbo_ON,39
202,29,329.90042,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,107,980,Cen7g11rFISH,Palbo_ON,39
203,30,310.03177,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,141,30292,Cen7g11rFISH,Palbo_ON,39
204,31,315.36453,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,4656,144,Cen7g11rFISH,Palbo_ON,39
205,32,316.74347,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,1277,135,Cen7g11rFISH,Palbo_ON,39
206,33,304.4063,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,114,1273,Cen7g11rFISH,Palbo_ON,39
207,34,280.46902,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,110,103,Cen7g11rFISH,Palbo_ON,39
208,35,286.8563,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,103,98,Cen7g11rFISH,Palbo_ON,39
209,36,282.4412,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,138,1098,Cen7g11rFISH,Palbo_ON,39
